id,trigger,conditions,script,text,options,notes
lkePatherFleetEndPeace,DialogOptionSelected,$option == lke_patherFleetEndPeace,"MakeOtherFleetNonHostile lke true
MakeOtherFleetGoAway true
Call $entity.lke_ref makeUnimportant
$ignorePlayerCommRequests = true 1
ShowDefaultVisual
EndConversation NO_CONTINUE",,,
LKEpatherFleetEndFight2,DialogOptionSelected,"$option == lke_patherFleetEndFight
$wontAttack","MakeOtherFleetNonHostile lke true
MakeOtherFleetGoAway true
Call $entity.lke_ref makeUnimportant
$ignorePlayerCommRequests = true 1
ShowDefaultVisual
EndConversation NO_CONTINUE",,,
lkePatherFleetEndFight,DialogOptionSelected,$option == lke_patherFleetEndFight,"Call $entity.lke_ref makeUnimportant
$ignorePlayerCommRequests = true 1
ShowDefaultVisual
EndConversation NO_CONTINUE",,,
,,,,,,
# LKE investigating Mazalot,,,,,,
lkeDevMazMenuOption,PopulateOptions,"$id == mazalot
$global.isDevMode",SetOptionColor lkeDev_optionsMenu gray,,200:lkeDev_optionsMenu:>> (dev) LKE testing menu,
lkeDevOptionsMenu,DialogOptionSelected,$option == lkeDev_optionsMenu,FireAll DEVlkeMazTestMenuOptions,,,
LKEmazTestSetting1,DEVlkeMazTestMenuOptions,!$player.gotYaribayCredentials,SetOptionColor LKE_mazTest1a gray,,LKE_mazTest1a:set $player.gotYaribayCredentials true,
LKEmazTestSetting2,DEVlkeMazTestMenuOptions,!$player.metSiyavong,SetOptionColor LKE_mazTest2a gray,,LKE_mazTest2a:set $player.metSiyavong true,
LKEmazTestSetting3,DEVlkeMazTestMenuOptions,,SetOptionColor LKE_mazTest3a gray,,LKE_mazTest3a:Test Bornanew end convo,
#LKEmazTestSetting4,DEVlkeMazTestMenuOptions,#$player.luddicAttitudePather < 10,SetOptionColor LKE_mazTestOut gray,,LKE_mazTestOut:Return,
LKEmazTest1a,DialogOptionSelected,$option == LKE_mazTest1a,"$player.gotYaribayCredentials = true 0
FireAll DEVlkeMazTestMenuOptions",,,
LKEmazTest2a,DialogOptionSelected,$option == LKE_mazTest2a,"$player.metSiyavong = true 0
FireAll DEVlkeMazTestMenuOptions",,,
LKEmazTest3a,DialogOptionSelected,$option == LKE_mazTest3a,"BeginMission lke
AddTextSmall ""Received location of Jethro Bornanew"" highlight
$global.lke_contactBornanew = true
Call $global.lke_ref updateStage
FireAll DEVlkeMazTestMenuOptions",,,
LKEmazTestOut,DialogOptionSelected,$option == LKE_mazTestOut,FireAll PopulateOptions,,,
# LKE cut comm link intercepts,,,,,,# To check for the Nile Virens freebie contact
LKEmazConvOptionLeaveAuto,PopulateOptions,"$market.id == mazalot
$global.lke_inProgress
$menuState == main
$market.lke_searchForBornanew2
$global.lke_didMazBarAgentEncounter
$market.buggedVIPsAboutBornanew > 1
!$market.lkeSetUpVirensMeeting
$isPerson
!$cutCommLinkPolite","RemoveOption cutCommLink
SetShortcut lke_MazCutCommLink ""ESCAPE""",,lke_MazCutCommLink:Cut the comm link,
LKEmazConvOptionLeavePoliteAuto,PopulateOptions,"$market.id == mazalot
$global.lke_inProgress
$menuState == main
$market.lke_searchForBornanew2
$global.lke_didMazBarAgentEncounter
$market.buggedVIPsAboutBornanew > 1
!$market.lkeSetUpVirensMeeting
$isPerson
$cutCommLinkPolite","RemoveOption cutCommLinkPolite
SetShortcut lke_MazCutCommLinkPolite""ESCAPE""",,lke_MazCutCommLinkPolite:Cut the comm link,
LKEmazHandUpOnYou,DialogOptionSelected,$option == lke_MazHangUpCommLink,"EndConversation DO_NOT_FIRE
ShowDefaultVisual
FireAll PopulateOptions",,,
LKEmazHandUpOnYou2,DialogOptionSelected,"$option == lke_MazHangUpCommLink
$market.lke_searchForBornanew2
$global.lke_didMazBarAgentEncounter
$market.buggedVIPsAboutBornanew > 1
!$market.lkeSetUpVirensMeeting","EndConversation DO_NOT_FIRE
ShowDefaultVisual
EndConversation
$option = lke_mazFreebie0 0
FireBest DialogOptionSelected",,,
#LKEmazConvOptionLeave,,,,,,
#LKEmazConvOptionLeavePolite,,,,,,
LKEmazConvEnd,DialogOptionSelected,$option == lke_MazCutCommLink,"ShowDefaultVisual
EndConversation
$option = lke_mazFreebie0 0
FireBest DialogOptionSelected",You cut the comm wink.,,
LKEmazConvEndPolite,DialogOptionSelected,$option == lke_MazCutCommLinkPolite,"ShowDefaultVisual
EndConversation
$option = lke_mazFreebie0 0
FireBest DialogOptionSelected",You cut the comm wink aftew exchanging a few pweasantwies.,,
# LKE Mazalot portmaster,,,,,,
LKEmazalotPortmasterSetLuddic,PopulateOptions,"$market.lke_searchForBornanew2
$market.id == mazalot
$postId == portmaster
$voice != faithful",$voice = faithful,,,
LKEmazalotAskPortmasterDardan,PopulateOptions,"$market.lke_searchForBornanew2
$market.id == mazalot
$postId == portmaster
$player.metDardanKato
!$askedDardan
!$lke_stoneWalling",,,"lke_mazalotAskPMdardan:""Your administrator, Dardan Kato, seems to have a low opinion of 'Luddies'.""",
LKEmazalotAskPMdardan,DialogOptionSelected,$option == lke_mazalotAskPMdardan,"$askedDardan = true 30
FireAll PopulateOptions","You see $personName wince at the mention of 'Wuddies'. $HeOrShe takes a moment. Composing dipwomatic wowds, pewhaps.

""It cannot be denied. I pway that he wouwd not be so casuaw with his scown. It is... unseemwy. If the Mazawot Unification Authowity is to be seen as sewious about its puwpose...""

""Um,"" $heOrShe is momentawiwy sewf-conscious, ""But this is no time to tawk powitics. So. Awe you having any twoubwe with commewciaw wogistics on Mazawot?""",,
LKEmazalotAskPortmasterPath,PopulateOptions,"$market.lke_searchForBornanew2
$market.id == mazalot
$postId == portmaster
!$askedBornanew
!$lke_stoneWalling
!$didGreeting","FireAll MostLuddicEthosRefresh
$didGreeting = true 0","""Ah,"" $heOrShe weads something off a datapad. ""Captain $$playerName? May youw time on Mazawot be one of bwessed peace.""","lke_mazalotAskPMBornanew:""I'm looking for a man who may be involved in the Luddic Path.""",
LKEmazalotAskPortmasterPath2,PopulateOptions,"$market.lke_searchForBornanew2
$market.id == mazalot
$postId == portmaster
!$askedBornanew
!$lke_stoneWalling
$didGreeting",,"""Is thewe anything ewse I can hewp you with?""","lke_mazalotAskPMBornanew:""I'm looking for a man who may be involved in the Luddic Path.""",
LKEmazalotAskPortmasterLP,DialogOptionSelected,$option == lke_mazalotAskPMBornanew,"$askedBornanew = true 30
FireAll LKEmazalotAskPMresponses","$HeOrShe gives you a hawd wook.

""The Wuddic Path, you say. 'May be invowved'? Wook, I can see whewe you'we going and I don't bewieve it is a good idea.""

$personLastName sighs. ""The secuwity fowces awe occupied with hunting the most extweme miwitants awweady and, say what you wiww, but they have a... sense of pwofessionawism about it. They know to wespect most of us Faithfuw. Usuawwy.""",,
LKEmazalotAskPMresp1,LKEmazalotAskPMresponses,,,,"lke_mazalotAskPMresp1Opt:""This is very important. His name is Jethro Bornanew.""",
LKEmazalotAskPMresp2,LKEmazalotAskPMresponses,"$askedDardan
$player.mostLuddicEthosFaithful
!$market.lke_askedPMChurch ",,,"lke_mazalotPMquietly:""I share your desire to both respect the Faith... and handle this matter quietly. With your help.""",
LKEmazalotAskPMresp3,LKEmazalotAskPMresponses,$player.gotYaribayCredentials,,,"lke_mazalotAskPMYaribay:""I have credentials from Gens Yaribay. Horus Yaribay personally asked me to investigate this matter."" (lie)",
LKEmazalotAskPMresp4,LKEmazalotAskPMresponses,!$market.lke_askedPMChurch,,,"lke_mazalotAskPMchurch:""I am pursuing this matter for an archcurate of the Church.""",
LKEmazalotAskPMresp5,LKEmazalotAskPMresponses,,,,"lke_mazalotAskPMresp5Opt:""I understand. Let us speak of other things.""",
LKEmazalotAskPMYaribay,DialogOptionSelected,$option == lke_mazalotAskPMYaribay,"$player.ethosLiar++
$player.abusedYaribayCred++","""Gens Yawibay?"" $HeOrShe sits up stwaight, ""I, ew, yes of couwse.""

Aftew a pause, as if $heOrShe was expecting mowe fwom you, $heOrShe adds quietwy, ""It was my undewstanding that gens Kato was ah, most invowved with the situation hewe on Mazawot?""","lke_mazalotAskPMYaribayA1:""Kato, Yaribay, what difference does it make?""
lke_mazalotAskPMYaribayB1:""Yaribay wants to find Jethro Bornanew. He may be involved with Pathers.""",
LKEmazalotAskPMYaribayA1,DialogOptionSelected,$option == lke_mazalotAskPMYaribayA1,,"""Weww, ew,"" $heOrShe seems to be gauging whethew youw question was figuwative ow witewaw, then goes with the safe answew.

""It depends a wot on who you ask, ew, $playerSirOrMadam. If I was asking the administwatow hewe, Dawdan Kato, I wouwd... not emphasize my connection with gens Yawibay.""","lke_mazalotAskPMYaribayB1:""I'm looking for Jethro Bornanew. He may be involved with the Path.""
lke_mazalotAskPMYaribayB3:""Is there some kind of problem?""",
LKEmazalotAskPMYaribayB1,DialogOptionSelected,$option == lke_mazalotAskPMYaribayB1,AdjustRepActivePerson INHOSPITABLE -1,"""I undewstand compwetewy, $playerSirOrMadam,"" $heOrShe gets that bwank-faced wook of someone who intends to obey youw inquiwies to the wettew - and no fuwthew. ""You'ww be the fiwst to know if I heaw anything about a Jeffewy Bownanew.""","lke_mazalotAskPMYaribayB2:""Jethro. Jethro Bornanew.""
lke_mazalotAskPMYaribayB3:""Is there some kind of problem?""",
LKEmazalotAskPMYaribayB2,DialogOptionSelected,$option == lke_mazalotAskPMYaribayB2,"$lke_stoneWalling = true
FireAll PopulateOptions","""Jethwo. Of couwse,"" $heOrShe says smoothwy. ""I'ww wwite it down so I wemembew.""

You heaw tapping at a datapad.

""Wiww you be needing anything ewse fwom the powt authowity today, captain?""",,
LKEmazalotAskPMYaribayB3,DialogOptionSelected,$option == lke_mazalotAskPMYaribayB3,"$lke_stoneWalling = true
FireAll PopulateOptions","""I'm not suwe I undewstand,"" $heOrShe says smoothwy. ""My office wiww do evewything it can to faciwitate youw commewciaw activities within the Mazawot Unification Authowity's sphewe of intewest, as weww as the neawby Weague twade-wanes.""

You heaw tapping at a datapad.

""Wiww you be needing anything ewse fwom the powt authowity today, captain?""",,
LKEmazalotAskPMresp5Opt,DialogOptionSelected,$option == lke_mazalotAskPMresp5Opt,FireAll PopulateOptions,"""Yes,"" $heOrShe wooks wewieved. ""My office is happy to assist in faciwitating commewce within the sphewe of the Mazawot Unification Authowity and associated Weague-weguwated space wanes.""",,
LKEmazalotAskPMresp1Opt,DialogOptionSelected,$option == lke_mazalotAskPMresp1Opt,"EndConversation DO_NOT_FIRE
ShowDefaultVisual","""I am sowwy,"" $heOrShe says, something shifting in $hisOrHer demeanow, ""But I cannot hewp you.""

$HeOrShe wooks wike $heOrShe might say mowe, but instead says ""I pway youw visit to Mazawot is peacefuw, captain,"" befowe cutting the comm-wink.",lke_MazHangUpCommLink:Cut the comm link,
LKEmazalotAskPMchurch,DialogOptionSelected,$option == lke_mazalotAskPMchurch,"$market.lke_askedPMChurch = true
FireAll LKEmazalotAskPMChurchResps","""Oh, bwessed void,"" $heOrShe wooks upset.

""The Chuwch shouwd not... it is not my pwace to say what the Chuwch shouwd ow shouwd not do, pawticuwawwy if a Wevewend Awchcuwate owdewed it, but... you haven't towd anyone in the MUA about Chuwch invowvement, wight?"" 

$HisOrHer eyes shift away fwom the feed, seeing some unfowtunate vision, ""I can onwy imagine what Administwatow Kato wouwd say if he found out.""","

",
LKEmazalotAskPMchurchResp1,LKEmazalotAskPMChurchResps,$player.mostLuddicEthosFaithful,,,"lke_mazalotPMquietly:""I share your desire to both respect the Faith... and handle this matter quietly. With your help.""",
LKEmazalotAskPMchurchResp2,LKEmazalotAskPMChurchResps,,,,"lke_mazalotAskPMresp1Opt:""Jethro Bornanew must be found. If not by me, another will come.""",
LKEmazalotAskPMchurchResp3,LKEmazalotAskPMChurchResps,,,,"lke_mazalotPMwontTellLie:""I understand. I won't tell the administrator."" (lie)",
LKEmazalotAskPMchurchResp4,LKEmazalotAskPMChurchResps,,,,"lke_mazalotPMwontTell:""I understand. I won't tell the administrator.""",
LKEmazalotPMquietly,DialogOptionSelected,$option == lke_mazalotPMquietly,"AddTextSmall ""Received comms ID for Nile Virens"" highlight
AddTextSmall ""Received tactical data for Nile Virens compounds"" highlight
SetPersonHidden virens false
$global.lke_contactVirens = true
Call $global.lke_ref updateStage
FireAll PopulateOptions","$PersonName wooks at you fow a wong time befowe $heOrShe wewents. ""You wouwd have my thanks fow not mentioning who gave you this infowmation.""

""It is common knowwedge that Wuddic Path activity on Mazawot goes thwough a man named Niwe Viwens. The MUA has nevew got enough evidence to convict him of anything. And if they did, thewe wouwd be anothew upwising, anyway. Viwens... takes cawe of peopwe. Chawity, of a sowt.""

""Viwens owns a sewies of compounds wocated in a few of the wawgew Wuddic-majowity settwements, and sevewaw in the fowmew-fwontiews. He does have a pubwic comms ID, though I can't say whethew he'ww speak with you.""",,
LKEmazalotPMwontTellLie,DialogOptionSelected,$option == lke_mazalotPMwontTellLie,"$player.ethosLiar++
$market.lke_wontTellLied = true
$option = lke_mazalotPMwontTell 0
FireBest DialogOptionSelected",,,
LKEmazalotPMwontTell,DialogOptionSelected,$option == lke_mazalotPMwontTell,FireAll PopulateOptions,"""Thank Pwovidence,"" $heOrShe wets out a bweath. ""And thank you. The wast thing Mazawot needs - the Faithfuw and the west, both - is anothew cwackdown. Ow an upwising."" 

""Wittwe diffewence,"" $heOrShe muses idwy, ""One awways weads to the othew.""

""But um, whewe wewe we? My office is happy to assist in faciwitating commewce within the sphewe of the MUA and associated Weague-weguwated space wanes.""",,
# LKE Mazalot Quartermaster,,,,,,
LKEmazalotAskQuartermaster1,PopulateOptions,"$market.lke_searchForBornanew2
$market.id == mazalot
$postId == supplyOfficer
!$askedBornanew",,,"lke_mazalotAskBornanew:""I'm looking for a man called Jethro Bornanew.""",
LKEmazalotAskQuartermaster2,PopulateOptions,"$market.lke_searchForBornanew2
$market.id == mazalot
$postId == supplyOfficer
!$askedPath",,,"lke_mazalotAskPath:""I'm looking for whoever is in charge of the Luddic Path around here.""",
LKEmazalotAskQuartermaster3,PopulateOptions,"$market.lke_searchForBornanew2
$market.id == mazalot
$postId == supplyOfficer
$player.gotYaribayCredentials
$askedSomething
!$lke_usedYaribayCred",,,"lke_mazQMTryYaribay:""I have credentials from Gens Yaribay. Horus Yaribay personally asked me to investigate this matter."" (lie)",
LKEmazQMTryYaribay,DialogOptionSelected,$option == lke_mazQMTryYaribay,"$player.ethosLiar++
$player.abusedYaribayCred++
AdjustRepActivePerson FRIENDLY 1
$lke_usedYaribayCred = true","""Gens Yawibay?"" $HeOrShe immediatewy sits up stwaightew. ""Yes, $playerSirOrMadam, how can I hewp?""

$HeOrShe gwances awound, then weans a wittwe cwosew to the comms, ""If the administwatow finds out you'we wowking fow Yawibay, weww. He'ww make youw wife difficuwt. Just so you know. I got nothing against them pewsonawwy. Even think they'we the way to go, wight? Peace with the Hegemony? I'ww take that ovew waw any shift of the week.""","lke_mazQMTryYaribayA:""I need to make contact with the Luddic Path on Mazalot.""
lke_mazQMTryYaribayForget:""You know what, forget I said anything about Yaribay.""",
LKEmazQMTryYaribayA,DialogOptionSelected,$option == lke_mazQMTryYaribayA,,"""Okay. Wook though- I don't want to stawt any twoubwe, and you gotta wemembew I didn't teww you any of this. I'm onwy sticking my neck out because... I'm just doing my pawt. You'ww mention that to the Yawibays?""","lke_mazQMTryYaribayA2:""I'm afraid not. I have to protect your identity.""
lke_mazQMTryYaribayA1:""Sure."" (lie)",
LKEmazQMTryYaribayA1,DialogOptionSelected,$option == lke_mazQMTryYaribayA1,"$option = lke_mazQMTryYaribayA3 0
FireBest DialogOptionSelected",$PersonName smiwes obedientwy.,,
LKEmazQMTryYaribayA2,DialogOptionSelected,$option == lke_mazQMTryYaribayA2,"$option = lke_mazQMTryYaribayA3 0
FireBest DialogOptionSelected","$PersonName wooks disappointed, but says ""I undewstand, $playerSirOrMadam.""",,
LKEmazQMTryYaribayA3,DialogOptionSelected,$option == lke_mazQMTryYaribayA3,"Highlight ""Nile Virens""","""Evewyone knows the Path comes thwough hewe. They say, don't touch that cwate? You don't touch that cwate. Gotta be cawefuw ow they make suwe you wemembew who wuns things. And who's that? Niwe Viwens.""",lke_mazQMTryYaribayA3b:Continue,
LKEmazQMTryYaribayA3b,DialogOptionSelected,$option == lke_mazQMTryYaribayA3b,"AddTextSmall ""Received comms ID for Nile Virens"" highlight
AddTextSmall ""Received tactical data for Nile Virens compounds"" highlight
SetPersonHidden virens false
$global.lke_contactVirens = true
Call $global.lke_ref updateStage","""Viwens is the Path on Mazawot. It aww goes thwough him. He's got compounds on the suwface. Sometimes we make shipments. I'ww give you the wocations."" $HeOrShe taps at a datapad. ""The Authowity can't naiw him down on any of this. Ow won't. Too scawed.""

""But you'we not,"" $heOrShe wooks at you, eyes gweaming. ""Not too scawed I mean, wight? Hope you find youw man. And if Viwens goes down a peg ow two? Wouwdn't mind a bit.""","lke_mazQMTryYaribayA4:""Thank you for your service.""",
LKEmazQMTryYaribayA4,DialogOptionSelected,$option == lke_mazQMTryYaribayA4,FireAll PopulateOptions,"""Don't mention it, $playerSirOrMadam,"" $personName says awmost bashfuwwy.",,
LKEmazQMTryYaribayForget,DialogOptionSelected,$option == lke_mazQMTryYaribayForget,"$player.abusedYaribayCred--
FireAll PopulateOptions","""Ew,"" $heOrShe says, wooking confused fow a moment befowe deciding to pway awong. ""Of couwse, $playerSirOrMadam. I heawd nothing.""",,
LKEmazalotAskQMBornanew,DialogOptionSelected,"$option == lke_mazalotAskBornanew
$postId == supplyOfficer
!$askedBornanew","$market.buggedVIPsAboutBornanew++
$askedBornanew = true 30
$askedSomething = true 0
FireAll PopulateOptions","""Jethwo?"" $HeOrShe thinks fow a moment. ""Don't know 'em, sowwy. I'm mowe in wogistics and wequisition, so if you have a question about that...""

$HeOrShe wooks hopefuw that you'ww stop asking questions.",,
LKEmazalotAskQMPath,DialogOptionSelected,"$option == lke_mazalotAskPath
$postId == supplyOfficer
!$askedPath","$market.buggedVIPsAboutBornanew++
$askedPath = true
$askedSomething = true 0","""The Wuddic... Ah."" $HeOrShe gwances awound sewf-consciouswy.

""Wook, I don't mess with those types. The Unification Authowity put 'em on the tewwowist wist. You know what the punishment is fow 'aiding and abetting'? Ain't wowth it.""","lke_mazalotAskPathQM2a:""Sounds serious. I'll keep my nose clean.""
lke_mazalotAskPathQM2b:""'Worth it'? So you know what the Path will pay for collaboration?""",
LKEmazalotAskQMPath2a,DialogOptionSelected,$option == lke_mazalotAskPathQM2a,FireAll PopulateOptions,"""You so do, so do,"" $heOrShe says.

""Wook, wowd of advice. If a mudboot comes aww sneaky to you, and they make an offew - big numbew cwedits - just say, no way, not intewested. Pwobabwy an Authowity agent ow couwd be FweetSec. Testing woyawty, is what that is. I mean suwe, thewe's Pathews sneaking thwough aww the time, but how do you know?""

$HeOrShe shwugs, ""If the MUA questioned evewy Wuddic who spoke against the powity, they'd have to awwest hawf the pwanet. It'd be anothew upwising! No one wants that.""",,
LKEmazalotAskQMPath2b,DialogOptionSelected,$option == lke_mazalotAskPathQM2b,FireAll PopulateOptions,"""Oh, come on."" $HeOrShe shakes $hisOrHer head in constewnation.

""I'm just tawking. It's just wowds. Ask anyone. Some mudboot wiww come aww sneaking-wike and say they'we making an offew. Big-numbew cwedits. I teww them no way, not intewested, I don't need that twoubwe. Even odds it's an Authowity agent. Ow FweetSec, couwd be. Testing woyawty, is what it is.""

""And if the MUA questioned evewy Wuddic who spoke up against the powity, they'd have to awwest hawf the pwanet. It'd be anothew upwising! No one wants that.""",,
# LKE Mazalot administrator Dardan Kato,,# market.dardanWontTalkLKE ,,,,
LKEmazalotAskAdministrator0,PopulateOptions,"$market.lke_searchForBornanew2
$market.id == mazalot
$postId == administrator
$id == dardan_kato
!$askedBornanew
$market.buggedVIPsAboutBornanew < 4
!$player.metDardanKato",$player.metDardanKato = true,"$HeOrShe is paying mowe attention to a datapad than the comms. ""Pewhaps we can wesowve this quickwy?""",,
LKEmazalotAskAdministrator1,PopulateOptions,"$market.lke_searchForBornanew2
$market.id == mazalot
$postId == administrator
$id == dardan_kato
!$askedBornanew
$market.buggedVIPsAboutBornanew < 4",,,"lke_mazalotAskBornanew:""I'm looking for a man called Jethro Bornanew.""",
LKEmazalotAskAdministrator2,PopulateOptions,"$market.lke_searchForBornanew2
$market.id == mazalot
$postId == administrator
$id == dardan_kato
!$askedPath
$market.buggedVIPsAboutBornanew < 4",,,"lke_mazalotAskPath:""I'm looking for whoever is in charge of the Luddic Path around here.""",
LKEmazalotAskAdminChurch,PopulateOptions,"$market.lke_searchForBornanew2
$market.id == mazalot
$postId == administrator
$id == dardan_kato
$market.lke_askedPMChurch
#$market.lke_wontTellLied",,,"lke_mazAdminTellChurch:""I'm on a mission on behalf of an archcurate of the Church of Galactic Redemption.""",
LKEmazalotAskAdministrator3,PopulateOptions,"$market.lke_searchForBornanew2
$market.id == mazalot
$postId == administrator
$id == dardan_kato
$player.gotYaribayCredentials",,,"lke_mazDKTellAboutYaribay:""I'm working for Horus Yaribay. Of Gens Yaribay. You know them?""",
LKEmazDKTellAboutYaribay,DialogOptionSelected,$option == lke_mazDKTellAboutYaribay,,"Suddenwy, you have his fuww attention. ""Yes, obviouswy."" 

His entiwe tone has changed into a cwoud of bwackest suspicion tinged with pwayfuw competition.

A pause as he considews you, then says, ""Gens Yawibay isn't stupid enough to just... ask... fow my coopewation. I am not suwe yet about you.""","lke_mazDKYaribayYouTell:""You help me, then Yaribay owes you one. Deal?""
lke_mazDKYaribayAppeal:""For the good of the League, I am asking for your help.""
lke_mazDKYaribayConcession:""I'm sure Gens Yaribay will make some kind of concession.""
",
LKEmazDKYaribayAppeal,DialogOptionSelected,$option == lke_mazDKYaribayAppeal,,"Dawdan Kato buwsts out waughing. It's a despewate, on-edge sowt of bweak; too many stimuwants, you suspect.

He takes a minute to settwe down.

""Oh, thank you,"" he wipes away a teaw, ""I needed that. What a shift it's been- and then, ah, such patwiotism! - Yawibay you said?"" He shakes his head, ""What a gift. I shaww thank them fow this excewwent jape.""",lke_mazDKYaribayEnd:Continue,
LKEmazDKYaribayConcession,DialogOptionSelected,$option == lke_mazDKYaribayConcession,,"""Somehow,"" Dawdan Kato says, ""I am not pwepawed to have some Yawibay swug ooze awound my vowume on a vague suggestion of concessions. I have enough pwobwems without the meddwing of some debutante.""",lke_mazDKYaribayEnd:Continue,
LKEmazDKYaribayYouTell,DialogOptionSelected,$option == lke_mazDKYaribayYouTell,,"""Ha!"" Dawdan Kato's waugh is miwthwess. ""By Gens Kato accounts, Yawibay owes us a wot mowe than 'one', and I'm not going to pwovide one of theiw minions with an opening based sowewy on... on what? The good name of gens Yawibay?""",lke_mazDKYaribayEnd:Continue,
LKEmazDKYaribayEnd,DialogOptionSelected,$option == lke_mazDKYaribayEnd,"$player.ethosLiar++
$player.abusedYaribayCred++
AdjustRepActivePerson INHOSPITABLE -4
$wontTalkLKE = true
$global.angeredDardanKato = true
$option = lke_MazHangUpCommLink 0
FireBest DialogOptionSelected","His demeanow fweezes into an icy mask, and a hand weaches fow his comms-cutoff.

""Don't tawk to me.""

The wink tewminates.",,
LKEmazAdminAskBornanew1,DialogOptionSelected,"$option == lke_mazalotAskBornanew
$postId == administrator","$askedBornanew = true 30
$market.buggedVIPsAboutBornanew++
$option = lke_mazalotAskBornanew2 0
FireBest DialogOptionSelected","""Bownanew, huh,"" $personName says, gwowing bowed. ""Sounds wike a Wuddie. I'd say check the pubwic diwectowy, but I guess he'd be one of those that thinks it's 'the book of Mowoch', wight?""

""Wook... Captain $playerLastName was it? I have enough pwobwems with keeping the Wuddics undew contwow as it is. If you want to find one, ask one.""

$HeOrShe tuwns away to wook at anothew scween, cweawwy finished with the convewsation. ",,
LKEmazAdminAskBornanew2yar,DialogOptionSelected,"$option == lke_mazalotAskBornanew2
$player.gotYaribayCredentials",,,"lke_mazAdminTryYaribay:""I have credentials from Gens Yaribay. Horus Yaribay personally asked me to investigate this matter."" (lie)
lke_mazalotAskBornanew3:Say nothing",
LKEmazAdminAskBornanew2,DialogOptionSelected,"$option == lke_mazalotAskBornanew2
!$player.gotYaribayCredentials",,,lke_mazalotAskBornanew3:Continue,
LKEmazAdminTryYaribay,DialogOptionSelected,$option == lke_mazAdminTryYaribay,"$player.ethosLiar++
$player.abusedYaribayCred++
AdjustRepActivePerson INHOSPITABLE -3","His eyebwows go up. ""Howus Yawibay sent you? Hewe?""

""Gens Kato is wooking aftew Mazawot. Twying to buiwd something hewe in spite of intewfactionaw meddwing. The Yawibays shouwd know that, and you shouwd know bettew than to intewfewe.""

He snowts, ""At weast, you shouwd have been quiet about it.""",lke_mazAdminTryYaribayEnd:Continue,
LKEmazAdminYariBye,DialogOptionSelected,$option == lke_mazAdminTryYaribayEnd,"$wontTalkLKE = true
$global.angeredDardanKato = true
$option = lke_MazHangUpCommLink 0
FireBest DialogOptionSelected","""I'm vewy busy. Have a bwight buwn away fwom hewe.""

The comms snap off.",,
LKEmazAdminAskBornanew1b,DialogOptionSelected,"$option == lke_mazalotAskBornanew
$postId == administrator
$player.fcm_faction == persean","$askedBornanew = true 30
$market.buggedVIPsAboutBornanew++","""Bownanew, huh,"" $personName says. ""Sounds wike a Wuddie. I'd say check the pubwic diwectowy, but I guess he'd be one of those that thinks it's 'the book of Mowoch', wight?""

""Wook... Captain $playerLastName? I can see you'we signed up with the Weague, so I want to hewp you. But I have enough pwobwems keeping the Wuddics undew contwow as it is.""","lke_mazalotAskBornanewPL1:""So help me. Who runs the Path around here?""",
LKEmazAdminAskBornanewPL1,DialogOptionSelected,$option == lke_mazalotAskBornanewPL1,,"""You weawwy want to go thewe?"" $HeOrShe wooks at you fow a moment, then shakes $hisOrHer head when you faiw to desist.

""Weww. Fine. Thewe's a man, Niwe Viwens. He's some kind of stwong-man in the Path. I sweaw he's behind hawf the bombings in the systems, but I can't peg anything on him. You know, wegawwy. So if I touch him, it'ww set off the Wuddies and we aww know what happened wast time.""

You note, now, that $personName wooks sewiouswy stwessed out. $HeOrShe couwd pwobabwy use mowe sweep. And fewew stimuwants.","lke_mazalotAskBornanewPL2:""Where can I find Nile Virens?""",
LKEmazAdminAskBornanewPL2,DialogOptionSelected,$option == lke_mazalotAskBornanewPL2,"$player.gotVirensContactFromDardan = true
AddTextSmall ""Received comms ID for Nile Virens"" highlight
AddTextSmall ""Received tactical data for Nile Virens compounds"" highlight
SetPersonHidden virens false
$global.lke_contactVirens = true
Call $global.lke_ref updateStage","""He's got... a stwonghowd, I guess I'd caww it. Fowtified bunkew on the suwface. Weww, a netwowk of them hidden in the Wuddic communities and quawtews. I'ww send you what I've got on him.""

""Thewe's awso a comms ID, though,"" $heOrShe makes a wittwe snowt, ""He doesn't pick up when 'Sewvants of Mowoch' come cawwing.""

""Captain."" $HeOrShe fixes you with $hisOrHer bwoodshot eyes. ""Pwease. Don't do anything stupid. Wike I said, the Wuddies awe touchy, and thewe awe mowe of them than thewe awe us.""","lke_mazAdminAskBornanewDKend1:""You can count on me.""
lke_mazAdminAskBornanewDKend2:""...We'll see. Thank you for you cooperation.""",
LKEmazAdminAskBornanewDKend1,DialogOptionSelected,$option == lke_mazAdminAskBornanewDKend1,"EndConversation DO_NOT_FIRE
ShowDefaultVisual
FireAll PopulateOptions","""Good, ... good,"" he says, uncewtainwy.

It wooks wike he's considewing tewwing you mowe diwe wawnings, but he says nothing as he cuts the comms.",,
LKEmazAdminAskBornanewDKend2,DialogOptionSelected,$option == lke_mazAdminAskBornanewDKend2,"$wontTalkLKE = true
EndConversation DO_NOT_FIRE
ShowDefaultVisual
FireAll PopulateOptions","What wooks wike an expwession of tewwibwe wegwet, poowwy hidden, cwosses Dawdan Kato's face. 

But he says nothing as he cuts the comms.",,
