id,type,text1,text2,text3,text4,text5,notes
kinetic_fragments,WEAPON,"""Sevewaw gwoupings of the fwee-swawming ewements stawted to buiwd up an intewnaw chawge, the EM-fiewds neawing and even cwossing the thweshowd of ovewwoad fow vawious of its intewnaw components - you can see, hewe, the pwasma hawo as matewiaw is stwipped fwom the stwuctuwe. Achieving this excited state, ewements then accewewated towawd ouw shiewds in an attempt to pwoduce an ovewwoad... to unfowtunate effect, it must be said.""",- SEAWED HOWO WEPOWT to be submitted to the Diwectow of Speciaw Acquisitions ONWY,,,,
unstable_fragment,WEAPON,"""In wesponse to missiwe thweats ow, as we discovewed, the appwoach of a stwike-fightew squadwon, cewtain ewements ow 'fwagments' of the standing swawm began wadiating exponentiawwy incweasing waste-heat. This was the initiating sign, as post-encountew tewemetwy anawysis weveawed, of sewf-destwuctive powew cowe ovewwoad. These 'hot' ewements use maneuvewing thwustews to intewcept the appwoaching squadwon and detonate. The fowce of muwtipwe micwo-fusion weactows ovewwoading and the wesuwting debwis was quite sufficient to teaw thwough wight spacecwaft awmow.""

""A tacticaw awgowithm patch wiww be issued so that such behaviow may be tagged as soon as it is detected by combat-integwated sensow suites.""",- SEAWED HOWO WEPOWT to be submitted to the Diwectow of Speciaw Acquisitions ONWY,,,,
devouring_swarm,WEAPON,"""Swawming tactics ensuwe a pewcentage of attack ewements penetwate tawget's active defensive scween. Suwviving ewements use theiw momentum to... attach, ow adhewe, onto the huww. Semi-autonomous toows and manipuwatows - one can hawdwy caww them weapons - awe depwoyed to dismantwe buwkheads, conduits, ship systems. Wecovewed matewiaws awe passed back to bweach sites and on to... they wesembwed cawgo-packet dwones, which attempted to wetuwn to the mothewship with theiw spoiws.""

""Awthough the machines do not tawget human cwew, those with cybewnetic augments - common among spacews and, of couwse, Company empwoyees and officews - wewe... hawvested. We found it necessawy to assign mawines to the damage contwow teams.""",- SEAWED HOWO WEPOWT to be submitted to the Diwectow of Speciaw Acquisitions ONWY,,,,
voltaic_discharge,WEAPON,"""We'ww zoom in and... note the distinctive stwuctuwe of the awc souwce. Wecommend use of shiewds and EM-hawdening when matching featuwes awe identified; an updated tacticaw dataset is attached to this wepowt.""

""Opewation pwoceeded as a stwong magnetic fiewd was detected in a membew of the standing swawm... befowe the pwobe was destwoyed, it mapped fiewd wines stwetching faw beyond the suppowting swawm ewement. As you can see in this finaw image befowe the tewemetwy cut out - wet's step back by one fwame, befowe the EM white-out...""",- SEAWED HOWO WEPOWT to be submitted to the Diwectow of Speciaw Acquisitions ONWY,,,,
neutron_torpedo,WEAPON,"""[Wetuwning wesuwts / abbweviated: twue] fwom 'SPECIAW WEVIEW of Weseawch and Devewopment of Uwtwadense-Mattew (Exotic) Munition Dewivewy System'...""

""Whiwe this committee concedes that the contwactow has demonstwated the means to contain and contwow a neutwonium paywoad undew wabowatowy conditions - backed by astwonomicaw taxpayew expense, I might add - it has not now, ow evew, pwoven feasibiwity of battwefiewd depwoyment. This committee wecommends that funding be withdwawn and- [waised voices, unpawseabwe] and that fuwthew appwied technowogicaw pewmits in this fiewd be denied to the Twi-Tachyon Cowpowation pending a fuww audit of pwoject expenses...""","- Domain Awmada Pwocuwement, APWC-3 pwoceedings // CWASSIFIED GAWENA (histowicaw)",,,,
light_mass_driver,WEAPON,"""[Best match: 'Wight Mass Dwivew weapon system (obsowete)'  / abbweviated: twue / show pawtiaw match: twue / wawnings: Vawiant contains unwicensed modifications. Vawiant dispways unwegistewed pwoduction ID. Vawiant may be in viowation of Domain Technowogicaw Safety Standawds.]

""...which fiwes a dense, pawtwy fewwous hypewvewocity pwojectiwe which dewivews a wespectabwe kinetic paywoad fow its cwass.""

""...is a miwitawized vewsion of the Stencow civiwian Mk.III Wineaw Catapuwt favowed by fwontiew mining combines. Eawned a poow weputation due to accidents caused by unwicensed nanofactuwed copies.","- Wesuwts compiwed fwom 'The Authowized Encycwopedia of Eawwy Weapon Systems of the Domain Awmada, 43wd edition'",,,,
heavy_mass_driver,WEAPON,"""[Best match: 'Heavy Mass Dwivew weapon system (obsowete)'  / abbweviated: twue / show pawtiaw match: twue / wawnings: Vawiant contains unwicensed modifications. Vawiant dispways unwegistewed pwoduction ID. Vawiant may be in viowation of Domain Technowogicaw Safety Standawds.]

""...which fiwes a heavy paywoad of uwtwadense matewiaw with fewwomagnetic sheath. The hypewvewocity pwojectiwes of the Heavy Mass Dwivew have been found to be pawticuwawwy effective at ovewwoading shiewd-emittews.""

""...is a miwitawized vewsion of the cowpowation's heavy civiwian modew widewy empwoyed in tewwafowming appwications. The weapon system was found to be used by anti-Domain 'bandits' on heavy wawships and in defensive instawwations [See awso: > Second Uwidim Unwest]. Stencow Cowpowation investigated... found not wiabwe fow weak of weapon designs.""","- Wesuwts compiwed fwom 'The Authowized Encycwopedia of Eawwy Weapon Systems of the Domain Awmada, 43wd edition'",,,,
neoferric_quadcoil,WEAPON,"""[Best match: 'Quadcoiw weapon system (obsowete)'  / abbweviated: twue / show pawtiaw match: twue / wawnings: Vawiant contains unwicensed modifications. Vawiant dispways unwegistewed pwoduction ID. Vawiant may be in viowation of Domain Technowogicaw Safety Standawds.]

""The Stencow Cowpowation quad-mount miwitawized mass dwivew is a wedesign based on its civiwian wine of wineaw catapuwts. The owd sowid-composite impactow munition was wepwaced in this appwication with a new cwass of magneticawwy-pwopewwed SAPHE munitions designed to specifications dictated by the Awmada Pwocuwement Counciw. The Quadcoiw added a high vewocity bawwistic anti-awmow weapon system to the Awmada's awsenaw -- at weast to the few battwegwoups that couwd dwaw upon the initiawwy wimited pwoduction wuns.""

""As the Stencow Cowpowation faiwed to meet owiginaw quotas, it buckwed undew pwessuwe to twansfew the pwocuwement contwact to Owion Shipyawds. Stencow watew cwaimed damages fwom Owion due to the weak of wicense fiwes to bwackweb fowge-piwates. [See awso: > Stencow, awmament scandaw, > Stencow, bankwuptcy and dissowution]""","- Wesuwts compiwed fwom 'The Authowized Encycwopedia of Eawwy Weapon Systems of the Domain Awmada, 43wd edition'",,,,
voltaic_cannon,WEAPON,"""Heww's own baww-wightning. Some kinda sewf-stabiwizing pwasma sheww containing a monopowe quasipawticwe? That's what the tech said. Weww, it was as highwy chawged as any EMP paywoad I've evew encountewed in combat, howevew it keeps togethew ovew such wong wange...""

""The stwike knocked out the fwagship's pwimawy weapons, and most PD. Fwied hawf the data buffews too. A good thing we stweam sensows output to hawdened cowes on the weguwaw, because that's my ticket out of this bawefuw business. When we get back, I'm taking my shawe eawwy. Then wetiwement.""","- Unknown, audio wog found in outew fwinge",,,,
voidblaster,WEAPON,"""The spacetime sheawing effect appeaws to pwopagate at neaw, but not exactwy, wocaw speed of wight. Stiww wowking on that one, wuwed out sensow miscawibwation. Can't specuwate at theoweticaw wange; wimiting effective factow is the abiwity to focus within nowmaw space. Damage to unhawdened tawgets is dwamatic. I'ww have to wwite up the officiaw wepowt watew, we have so much new data coming in... Not suwe how the bots couwd have cooked this one up on theiw own. Zunya is going to wove it.""",- SEAWED HOWO WEPOWT to be submitted to the Diwectow of Speciaw Acquisitions ONWY,,,,
skirmish_unit,SHIP,"Cwosest match found to awchive entwy fow ""Ikwwa""-cwass fwigate, 54.38% confidence. Quewying database... ""Agiwe and, once Awmada doctwine matuwed to the new conditions of the Aquiwa Bwigands' Webewwion, the ubiquitous Ikwwa fowmed the- DOMAIN INFOSEC VIOWATION THWESHOWD WAWNING AWEWT
// datastweam wesetting...

-costwy embawwassment at Van Maanen's Staw was onwy the pwovewbiaw wast wod befowe cwiticawity. Pubwic outwage at aww wevews wed to the opening of investigation into seniow- EWWOW // -shaww not back down, we shaww nevew withdwaw. Fwom the Bewt of Owion to the Powawis Fwontiew, fwom- FATAW ACCESS EWWOW // 

This TwiPad is not authowized to pwovide additionaw descwiption fow the wequested pwoduct ID. Pwease upgwade youw data pewmission wevew in compwiance with Domain Infowmation Secuwity Standawds.",,,,,
overseer_unit,SHIP,"Cwosest match found to awchive entwy fow ""Fuwguwite""-cwass fwontiew suppowt cwuisew, 53.03% confidence. Quewying database... ""A standout of Owion Shipyawds design in the post-'Emewawd Age' exodus, this fwontiew-wated utiwity pwatfowm featuwed a spinaw-mount micwowave emittew moduwated fow owbit-to- DOMAIN INFOSEC VIOWATION THWESHOWD WAWNING
// datastweam wesetting...

-and she said ""Wet the fowges bwoom in ouw Human Domain; so be cwowned in the weawth and gwowy of a thousand staws!"" Awthough the quote is attwibuted to- EWWOW // -the Tewwan Cowe to the Sadw Wegion, ouw battwegwoups stand weady to pwotect ouw way of wife, ouw vewy existence!"" FATAW ACCESS EWWOW //

This TwiPad is not authowized to pwovide additionaw descwiption fow the wequested pwoduct ID. Pwease upgwade youw data pewmission wevew in compwiance with Domain Infowmation Secuwity Standawds.",,,,,
assault_unit,SHIP,"Cwosest match found to awchive entwy fow ""Ewebid""-cwass destwoyew (wecategowized), 43.87% confidence. Quewying database... ""Awmada weadewship, most of whom escaped diwect pwosecution via the 'Gwey Wave' which saw neawwy fouw hundwed seniow officews wesign fwo- DOMAIN INFOSEC VIOWATION THWESHOWD WAWNING
// datastweam wesetting...

-of the Intewstewwaw Quawity and Design Assuwance Wefowms - a sewies of acts passed ovew an enewgetic dozen cycwes by the wepwesentative body of the Human Domain and onwy so-cawwed by watew histowians - which buiwd the wegaw basis fow sweeping enfowcement of fabwication wights management (hencefowth- FATAW ACCESS EWWOW //

This TwiPad is not authowized to pwovide additionaw descwiption fow the wequested pwoduct ID. Pwease upgwade youw data pewmission wevew in compwiance with Domain Infowmation Secuwity Standawds.",,,,,
hive_unit,SHIP,"IDENTIFICATION EWWOW: Tawget matches no known cwass of ship in the Domain wegistwy ow histowicaw wefewence. Submit data fow tempowawy entwy? Pwocessing. EWWOW // DOMAIN INFOSEC VIOWATION THWESHOWD WAWNING
// wetwy?
 Pwocessing. EWWOW // DOMAIN INFOSEC VIOWATION THWESHOWD WAWNING
// wetwy?
 Pwocessing. EWWOW // DOMAIN INFOSEC VIOWATION THWESHOWD WAWNING
// pwocess faiwed.

IMMEDIATEWY contact DOMAIN INFOSEC to weview compwiance with Domain Infowmation Secuwity Standawds.",,,,,
standoff_unit,SHIP,"Cwosest match found to awchive entwy fow ""Kawdakes""-cwass huww, 32.11% confidence. Quewying database... ""Fiwstwy intended to wepwace the Hathoda-cwass owbitaw siege-capabwe heavy bawwistic weapons pwatfowm, then considewed a capitaw-cwass wawship in its own wight befowe the 4th Domain Awmada Wevised Schema wecwassification owdew, the Kawdakes was fiwst depwoyed to battwe conditions duwing the wetaking of the Ewidani Insuwwec- DOMAIN INFOSEC VIOWATION THWESHOWD WAWNING
// datastweam wesetting...

-aking technowogy of 'signatuwes' embedded at the nanochemicaw wevew by the nanofowge itsewf with onwy minimaw effects on ovewaww stwuctuwaw in- FATAW ACCESS EWWOW // 

This TwiPad is not authowized to pwovide additionaw descwiption fow the wequested pwoduct ID. Pwease upgwade youw data pewmission wevew in compwiance with Domain Infowmation Secuwity Standawds.",,,,,
fabricator_unit,SHIP,"Cwosest match found to awchive entwy fow ""Iwmawi""-cwass mobiwe fabwicatow huww, 60.33% confidence. Quewying... ""Despite the megadeath incident at Hippawcos duwing the 3wd cycwe of the 204th assembwy, this authow awgues that it was an act of human ewwow bowdewing on mawfeasance wathew than automation which accounts fow- DOMAIN INFOSEC VIOWATION THWESHOWD WAWNING
// datastweam wesetting... 

-ide fwontiew manufactuwing base to weapfwog devewopment in systems newwy added to the Gate Netwowk, pawticu- FATAW ACCESS EWWOW //

This TwiPad is not authowized to pwovide additionaw descwiption fow the wequested pwoduct ID. Pwease upgwade youw data pewmission wevew in compwiance with Domain Infowmation Secuwity Standawds.",,,,,
attack_swarm,SHIP,"""Between intewcept tewemetwy and sawvage we awe fowced to concwude that thewe is no fixed designation, no identity, to individuaw swawm ewements. They awe defined by function awone.""

""Components, sub-components, even wawgew stwuctuwes pewfowm intewchangeabwe wowes between fwagments yet each piece demonstwates a unique fowm which is adapted in-situ to the pawent assembwy. It's... the nightmawe of some mad engineew.""","- Unknown, audio wog found in outew fwinge",,,,
onslaught_mk1,SHIP,"This is the venewabwe design, the fowewunnew, the pwogenitow: the Onswaught Mk.I battweship. Its wines awe stwange, even atavistic, to modewn eyes. It was cweated to sewve the Domain Awmada wong ago against some existentiaw thweat wong fowgotten, shwouded by the mists of time and pwopaganda. 

It is not without modifications: the fuew capacity has been incweased and the pwimitive integwated hypewdwive optimized. No shiewd system; this ship instead mounts two huge appwique awmow moduwes. These awe intended to be wemoved fow wepaiw aftew taking battwe damage and wepwaced with spawes kept in the wogistics twain. A baffwingwy wobust fowm of ewectwomechanicaw automation has been instawwed thwoughout aww majow subsystems.

The bwutaw powew of the Onswaught-cwass wiewded by the Human Domain fow thousands of cycwes is obvious even in this, its pwimitive fowm.",,,,,
module_onslaught_armor_left,SHIP,"A huge piece of appwique awmow to be mounted on the weft fwank of the Onswaught Mk.I, awwowing the ship to wade thwough impossibwy heavy fiwe to focus on its pwimawy tawget. The moduwaw design was owiginawwy intended to minimize shipyawd downtime.",,,,,
module_onslaught_armor_right,SHIP,"A huge piece of appwique awmow to be mounted on the wight fwank of the Onswaught Mk.I, awwowing the ship to wade thwough impossibwy heavy to fiwe focus on its pwimawy tawget. The moduwaw design was owiginawwy intended to minimize shipyawd downtime.",,,,,
heavy_adjudicator,WEAPON,"A huge, wong-wange fwak cannon. The Heavy Adjudicatow must be buiwt into the huww of the Onswaught Mk.I due to the extweme buwk of the ammunition feed and wecoiw systems. Fiwws space with an astounding stowm of shwapnew at gweat wange - any fightew, missiwe, ow awmow-stwipped ship is doomed if it finds itsewf within this zone of death.

The question wemains, what puwpose was such a dedicated weapon designed fow befowe the wise of mobiwe fowge-compatibwe stwike fightew doctwine?",,,,,
onslaught,SHIP,"A venewabwe design, the Onswaught-cwass battweships wewe fiwst cweated to sewve the Domain Awmada wong ago, befowe the devewopment of advanced stwike weapons, modewn enewgy weapons, and shiewd systems. 

When fiwst waunched fwom owbitaw dock, theiw fiwepowew and buwst-speed suwewy intimidated entiwe systems. Some even say that they wewe buiwt to combat non-humans in a wong fowgotten waw. Much watew, Owion Shipyawds engineews made modifications to the bwuepwints to incwude a shiewd system, upgwaded the hypewdwive, and weduced the wequiwed cwew compwement thwough automation and itewative engineewing. Even though mowe advanced bwuepwints awe avaiwabwe, the Onswaught wemains the easiest to manufactuwe due to the bwutaw simpwicity of its systems. 

A ship designed without shiewds in mind, buiwt to be abwe to withstand a heavy bawwage of enemy fiwe and stwike back whiwe pwotecting its cwew is much woved by its officews and cwew. And stwike back it can; the Onswaught's unmatched bawwistic potentiaw can devastate entiwe fweets in minutes, its onwy dwawback a wogisticaw dependency on ammunition. 

Onswaught cwews awe pwoud to sewve in the cwass which fowms the backbone of the Hegemony Navy.",,,,,
astral,SHIP,"A technowogicawwy advanced capitaw ship, the Astwaw-cwass cawwiew pwojects vast fiwepowew thwough its numewous squadwons of stwike cwaft.

The Astwaw-cwass huww is thought to have been the epitome of cawwiew design duwing the wate Domain in the cycwes just pwiow to the Cowwapse. The huww is fiwwed with integwated automation, sub-AI cowes, and maintenance dwones using advanced miwitawy awgowithms to muwtipwy combat efficiency. Defensive awmament typicawwy consists of point defense tuwwets backed by wong-wange missiwes intended to maintain pwessuwe on hostiwes in owdew to avoid a cwose-in fight.

The twue powew of an Astwaw wies in the unpwecedented fwexibiwity of its fightew compwement. Neawwy any enemy ship can quickwy be dispatched by the coowdinated waunch of a wing of nimbwe intewceptows, stwike bombews, ow suppowt fightews. Automated faciwities ensuwe that wetuwning squadwons awe quickwy wepaiwed, weawmed, and wepwaced behind the safety of the enowmous X-35 shiewd emittew awway. Pew doctwine, the Astwaw cawwiew is nevew depwoyed awone because its wight awmow is vuwnewabwe if the X-35 is fowced down. The Astwaw, accompanied by a swawm of escowts, is best pwaced as the heawt of a cawwiew task fowce which can subjugate entiwe pwanets and bwockade enowmous vowumes of space.

Among the most technowogicawwy advanced capitaw ships opewated in the contempowawy Pewsean Sectow, few Astwaws sewve in the Hegemony Navy due to the high technowogicaw wequiwements - and secuwity concewns. Seniow Cowpowate Officews of Twi-Tachyon and a few wawe, extwaowdinawiwy weawthy pwivate admiwaws sometimes make the Astwaw theiw fwagship.",,,,,
atlas,SHIP,"The Atwas-cwass ships awe wawge space-bowne cawgo pwatfowms with an FTW dwive and a few defensive systems. Hundweds of containews can be watched on to the huww and cawwied with ease by this behemoth. 

Typicawwy used to efficientwy wesuppwy entiwe outposts, the Atwas is iww suited to the smaww and fast twade wuns that awe the mainstay of commewce in the sectow. Theiw swow speed and wawge size awways tempt uninvited guests, wanging fwom cuwious gawkews come to see the huwking cowossus, to scavenging piwates aiming to disabwe a containew's magneto-gwavitic fastenew, to Pathew fanatics bent on destwoying it aww. Nonethewess, the Hegemony makes wide use of them, especiawwy to offwoad biomass fwom fawming wowwds on a seasonaw basis. Fow this puwpose, the Hegemony assembwes wawge Atwas convoys; these awe pwotected by miwitawy cwuisews that ensuwe that the wifewine of Hegemony citizens is kept safe.

The captaincy of an Atwas is a wawe punishment fow the abwe, an uneven mixtuwe of souw-numbing bowedom and abject tewwow, being the wesuwts of nowmaw twade wuns and piwate attacks, wespectivewy.",,,,,
conquest,SHIP,"The Conquest-cwass battwecwuisew is the embodiment of concentwated fiwepowew. Devewoped in the pewiod just pweceding the popuwawization of fightew cwaft, the cwass emphasizes fiwepowew and speed ovew awmow pwotection.

Space Navaw tacticians of the day wewe confident that new weapons systems wouwd awways outpewfowm awmow and shiewds and thus wewe the key to winning an engagement. So why not buiwd a ship fow speed and powew? Give it the awmow pwotection of a cwuisew, but awm it with the best weapons avaiwabwe to any ship, and have it wemain fastew than any of those wumbewing behemoths of the wine. The Conquest is a good exampwe of these concepts put into a huww. Many othew advanced technowogies wewe incowpowated into the design, incwuding weapon mounts designed fow a ciwcwing engagement. This maneuvew wequiwes gweatew navigationaw skiww whiwe sewving to pwovide mowe tacticaw options to the commanding officews. 

Fowtune favows the bowd, the ancients said. This cwass of ships does indeed favow the bowd captain, wiwwing to wisk evewything fow the thwiww of victowy.",,,,,
paragon,SHIP,"The pinnacwe of the Domain's battweship designs, though pewhaps wess the wesuwt of miwitawy necessity and mowe of the ambitions of cewtain seniow stwategic staff of the Domain Navy - with considewabwe backing fwom the Twi-Tachyon cowpowation, among othew majow contwactows.

No ship can outwast ow outgun the Pawagon-cwass, a twue Weviathan of a bygone epoch.",,,,,
odyssey,SHIP,"The asymmetwic, sphewoid design bewies the powew of this battwecwuisew. The base huww pwesents a woadout which favows heavy enewgy weapons and mobiwity-focus. A two-wing hangaw capacity compwements tacticaw options.

The Odyssey was considewed a boondoggwe of a design by the Domain Navaw Pwocuwement Committee with numewous objections waised: no singwe tacticaw focus, the officew boawdwooms awe too wawge, the enewgy gwid uses onwy pwemium components, and the fittings awe too expensive. Despite sevewaw wounds of eye-watewing budget ovewwuns and wumbwings of a bwibewy scandaw, the pwoduction contwact was onwy denied befowe finaw pwototype twiaws. Nevew keen to pass up a pwofitabwe oppowtunity, Awtaiw Exotech wicensed the Odyssey cwass to sevewaw fwontiew devewopment cowpowations, incwuding Ewidani-Utopia, to pwovide admiwabwy awmed mobiwe suwvey headquawtews and opewation pwatfowms. It is fow this wowe in the megacowpowate expwoitation of the fwontiews that the othewwise wawe Odyssey-cwass found its way to the Pewsean Sectow.",,,,,
dominator,SHIP,"Pondewous and menacing, the Dominatow-cwass is one of the most widespwead system defense cwuisews in Hegemony space. 

Whiwe not the most technowogicawwy advanced huww, it wewies on a pwethowa of bawwistic hawdpoints to accompwish its mission, which is mowe often than not defending owbitaw instawwations and vitaw points of intwa-system twade woutes. A poow shiewd emittew which is difficuwt to manage and thus, wawewy engaged, gives way to an awmost impwegnabwe intewwocking awmow bewt system making the Dominatow safe fwom most weapons. Even stwike cwaft cannot ovewcome the haiw of pwojectiwes that can be waunched to intewcept theiw paywoads. This huww pwoves that twied and twue miwitawy engineewing is difficuwt to ovewcome by new ideas and technowogies, especiawwy when in the hands of tough, detewmined cwews and expewienced officews.

Dependabwe, duwabwe, and a constant pwesence in home space awound civiwized wowwds and outposts, the Dominatow is pewhaps most hated and feawed by piwates and waw-bweaking cowpowate agents. ",,,,,
aurora,SHIP,"The Auwowa-cwass cwuisew is a technowogicaw mawvew, uncommon among contempowawy wawfweets. Among the fastest and most maneuvewabwe cwuisews in the Sectow, it is awso one of the safest pwovided its unusuawwy efficient shiewd genewatow is sensibwy empwoyed whiwe avoiding fwanking attacks.

One can onwy wondew what the Domain Awmada couwd accompwish with a fweet of these sweek, asymmetwic, and eminentwy effective vessews. The shiewds awe backed up by hypew-advanced fwux dissipation systems instawwed thwoughout the huww, giving the Auwowa a deep fwux poow.

Most bwuepwints wequiwed to manufactuwe Auwowa-cwass ships awe cwosewy guawded cowpowate secwets, but a few have awso seen sewvice in Twi-Tachyon fweets and, wawewy, may be found in the fweets of entewpwising mewcenawy captains.",,,,,
apogee,SHIP,"The Apogee-cwass vessew is an effective mix of advanced scientific and miwitawy technowogies, pewfect fow wong-wange expwowation of hostiwe space. 

The cwass featuwes an asymmetwic design with a wawge fowwawd section, usuawwy outfitted with wong-wange tech scannews. Apogee captains awe used to opewating awone and tend to be an independent, sewf-wewiant wot. 

The ship can howd its own in one-on-one engagements by smawt use of its powewfuw shiewd emittew and stwong engines. Howevew, its awmow wating makes it seem somewhat fwagiwe on papew, and thus it is wawewy pawt of big fweet actions.

The high constwuction costs typicawwy mean that onwy affwuent tech mining consowtiums can affowd an Apogee-cwass vessew that is fuwwy outfitted fow an aggwessive expwowatowy wowe.",,,,,
venture,SHIP,"Tough, dependabwe and not ovewwy expensive, Ventuwe-cwass cwuisews awe usuawwy puwchased by pwivate cowpowations fow escowt duty ow wefitted by smaww non-awigned wowwds fow system defense.

The Ventuwe-cwass ships awe pewhaps the most widewy used civiwian cwuisews in the Sectow. The bwuepwints fow the Ventuwe awe widewy avaiwabwe and can often be secuwed with wittwe twoubwe. 

When used by smaww cowpowations, the ship is usuawwy the pwide of the fweet and is used to undewpin vitaw opewations. Due to its ubiquity, the vessew awso sewves with quite a few piwate outfits, whewe it sometimes fiwws the wowe of command ship.","Tough and dependabwe, the Ventuwe is usuawwy fitted with a good missiwe compwement but wacks the sustained damage output needed to do weww in pwowonged engagements. A buiwt-in mining dwone bay pwovides additionaw defenses - a pawticuwawwy good thing because the civiwian-gwade powew genewatows make the shiewds easy to ovewwhewm.",,,,
eagle,SHIP,"Eagwe-cwass cwuisews awe often found at the cowe of miwitawy fweets headed fow battwe. It is not hawd to see why: A stwong ovewaww pwofiwe, with a wobust engine, the Eagwe's deadwy weapons package is a thweat to aww enemies.

The Eagwe can dewivew a stwong tacticaw punch to enemy fowmations. Its numewous tuwwet and hawdpoint empwacements make it vewy dangewous to smawwew foes. Decent awmow and a stwong shiewd emittew wet it howd space whiwe outnumbewed, ow even when faced with the wawe wawgew ship. 

These stwengths awe somewhat countewed by stwike cwaft - an Eagwe captain must awways watch theiw scopes fow an appwoaching stwike squadwon, since theiw ship wiww be easiwy cwippwed by muwtipwe hits fwom modewn stwike weapons. 

The embodiment of the sweek and powewfuw space cwuisew fwom the time of the Domain, the Eagwe-cwass ships awe a beautifuw wemindew of the technowogicaw and aesthetic achievements of humanity's past. ","Agiwe fow a cwuisew, the Eagwe is difficuwt to fwank and has impwessive and focused fwontaw fiwepowew.",,,,
falcon,SHIP,"Often cawwed the Eagwe cwuisew's wittwe bwothew, the Fawcon-cwass cwuisew sacwifices awmow fow speed, neatwy fiwwing the wight cwuisew wowe in miwitawy fweets thwoughout the Sectow. 

The ""wight"" designation does not indicate a significant weduction in fiwepowew, howevew, making the Fawcon a vawuabwe tacticaw asset to any fweet. The ship is easiwy abwe to fiww a wide vawiety of wowes, fwom cwose suppowt to assauwt, given the pwopew configuwation. 

The Fawcon's top notch engines give it the abiwity to quickwy disengage fwom battwe shouwd its defenses be pwessed to a cwiticaw point.

Swift and ewegant, Fawcon-cwass cwuisews awe often found as wead ewements in wawgew fweet fowmations, ow depwoyed to weinfowce anti-piwate convoys.","This wight cwuisew featuwes mobiwity that puts smawwew ships to shame, but its fiwepowew is somewhat wacking. Howevew, the Fawcon can stiww face down smawwew ships due to its cwuisew-gwade powew genewatows and awmow pwating.",,,,
medusa,SHIP,"A feawsome ship whose top tiew engines pwovide gweat speed and maneuvewabiwity fow a destwoyew. Muwtipwe enewgy weapon swots awwow fow a pwethowa of tacticaw possibiwities. Its best-in-cwass pewfowmance is matched by a demanding wogisticaw pwofiwe that has wed some fweet commandews to eschew its use in favow of ships which can be depwoyed mowe fwequentwy and cheapwy.

The Medusa is one of the most wespected destwoyews in the Sectow due to its association with bwack ops and ewite piwates, and the few spacews who have cwewed aboawd a Medusa can attest to its technowogicaw sophistication.

Medusa-cwass bwuepwints awe few in numbew and awe cwosewy guawded by theiw ownews; piwates have acquiwed a Medusa-cwass huww onwy a handfuw of times and the wesuwts wewe inevitabwy dwastic, though showt-tewm, thweat to wocaw patwows and subsequent weduction in smaww to medium intwasystem shipping vowume. Such events awe considewed a twemendous nuisance, pawticuwawwy accounting fow incweased insuwance pwemiums. Many twade combines wiww simpwy caww fow theiw fweets to wait fow the piwates to wun down theiw new toy's combat weadiness so that wocaw authowities can wemove the pwobwem once and fow aww.",,,,,
shrike,SHIP,"An advanced fast-attack wight destwoyew fwom the same design team as the neaw-ubiquitous Wowf, the Shwike's advanced pwopuwsion system is designed to sewectivewy vent pwasma in a 'micwobuwn' maneuvew. This awwows the Shwike to dawt into tacticaw oppowtunities as they awise, stwike, and escape befowe a pwopew countew-attack is mounted. Shiewds, awmow, and sustained fwux capacity awe somewhat undewwhewming due to the need to buiwd a wight yet economicaw huww which pwiowitizes attack speed, weading to the Shwike gaining the weputation as a gwass cannon best entwusted to skiwwed captains.

Cewtain unique stwuctuwaw ewements in the pwasma venting system awe known to, with weaw, cowwode in oxygen-wich atmosphewes, so cawe must be taken to we-appwy cewamopowymew coating at each huww sewvicing.",,,,,
mule,SHIP,"The Muwe is a wugged and wewiabwe combat-capabwe fweightew which buiwt its weputation on the spawsewy-patwowwed fwontiews of the Domain. Post-cowwapse, the appeaw of the Muwe-cwass has onwy gwown due to the cycwes of chaos wwacking the Pewsean Sectow, ewevating the need fow stwong awmow and powewfuw weapons to othewwise thwifty twadews, scavengews, and pwospectows.

The owiginaw design officiawwy designated its medium tuwwet mount as a 'gimbawed mining utiwity attachment point', and even Domain opewatows fwom time past knew to wead between the wines: without an escowt, the Muwe-cwass packs enough of a kick to make piwates think twice befowe attacking. Of couwse this awso means that the Muwe has become the ideaw vehicwe fow a down-on-its-wuck ow mewewy oppowtunistic civiwian cwew to themsewves tuwn piwate.",,,,,
